Ano;ID;RA;Fase;INDE 2022;Pedra 2022;Turma;Nome;Ano nasc;Idade no ano;Gênero;Ano ingresso;Instituição de ensino;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Ranking Geral ;Ranking na Fase;Ranking Turma;Nº Av;Avaliador1;Recomendação Av1;Avaliador2;Recomendação Av2;Avaliador3;Recomendação Av3;Avaliador4;Recomendação Av4;Auto Avaliação;Engajamento;Psicossocial;Psicopedagógico;Rec Psicologia;Indicador de Aprendizagem;Matem;Portug;Inglês;Indicado;Atingiu PV;Ponto de Virada;Adequaça o ao Ní vel;Fase ideal;Defas;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV;Escola;Ativo/ Inativo;Ativo/ Inativo
2022;31;RA-31;6;8,8;Topázio;A;Aluno-31;2005;17;Menina;2019;Rede Decisão;Topázio;Topázio;Topázio;;8,8;;9;2;2;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;10,0;9,5;9,4;;Sem limitações;8,0;9,0;5,7;9,3;Não;Sim;10,0;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;32;RA-32;6;7,4;Ametista;A;Aluno-32;2006;16;Menina;2018;Rede Decisão;Ametista;Ametista;Ametista;;7,4;;370;11;11;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;8,8;5,2;8,8;;Sem limitações;6,1;5,7;3,6;8,9;Não;Não;7,9;10;Fase 6 (2º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;33;RA-33;6;5,0;Quartzo;A;Aluno-33;2005;17;Menina;2020;Escola Pública;Ágata;Ametista;Quartzo;;5,0;;824;17;17;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;;4,6;7,5;;Sem limitações;4,8;9,0;1,6;3,7;Não;Não;6,0;5,0;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;34;RA-34;6;6,3;Ágata;A;Aluno-34;2005;17;Menino;2016;Rede Decisão;Ametista;Ametista;Ágata;;6,3;;692;13;13;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9,6;4,8;8,1;;Sem limitações;3,8;4,7;4,0;2,8;Não;Não;7,3;5,0;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;35;RA-35;6;9,0;Topázio;A;Aluno-35;2005;17;Menina;2019;Rede Decisão;Ametista;Topázio;Topázio;;9,0;;5;1;1;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;10,0;9,6;9,4;;Sem limitações;8,5;9,0;7,1;9,3;Não;Sim;10,0;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;36;RA-36;6;7,9;Ametista;A;Aluno-36;2005;17;Menina;2019;Rede Decisão;Topázio;Ametista;Ametista;;7,9;;177;7;7;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9,2;9,0;6,9;;Sem limitações;6,8;8,5;4,3;7,8;Não;Sim;8,9;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;37;RA-37;6;5,0;Quartzo;A;Aluno-37;2005;17;Menina;2019;Rede Decisão;Ametista;Ágata;Quartzo;;5,0;;825;18;18;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase;;5,4;5,0;;Sem limitações;5,9;2,3;5,3;10,0;Não;Não;5,2;5,0;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;38;RA-38;6;8,5;Topázio;A;Aluno-38;2005;17;Menina;2017;Rede Decisão;Ametista;Ametista;Topázio;;8,5;;31;4;4;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9,2;8,9;7,5;;Não indicado;8,6;9,0;7,0;9,7;Não;Sim;9,8;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;39;RA-39;6;6,0;Ágata;A;Aluno-39;2006;16;Menina;2017;Rede Decisão;Ametista;Ametista;Ágata;;6,0;;722;15;15;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase;;4,8;6,9;;Requer avaliação;6,9;7,7;5,1;7,8;Não;Não;6,1;10;Fase 6 (2º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;40;RA-40;5;7,2;Ametista;A;Aluno-40;2006;16;Menina;2016;Rede Decisão;Ametista;Ágata;Ametista;;7,2;;429;27;3;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase + Bolsa;Avaliador-31;;7,9;7,8;7,5;;Sem limitações;6,8;4,7;7,3;8,4;Não;Não;7,8;5,0;Fase 6 (2º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
